equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:00:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:01:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:01:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:02:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:02:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:03:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:03:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:04:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:04:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:05:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:05:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:06:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:06:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | [2025-12-22 08:06:43,184] INFO in socketio_handler: 用户 admin 离开会话房间: conversation_3
equipment-management-system  | [2025-12-22 08:06:43,186] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_2
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:43 +0800] "GET /api/chat/conversations/2/messages HTTP/1.1" 200 421 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:06:44,177] INFO in socketio_handler: 用户 admin 离开会话房间: conversation_2
equipment-management-system  | [2025-12-22 08:06:44,178] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_2
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:44 +0800] "GET /api/chat/conversations/2/messages HTTP/1.1" 200 421 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:06:44,386] INFO in socketio_handler: 用户 admin 离开会话房间: conversation_2
equipment-management-system  | [2025-12-22 08:06:44,388] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_2
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:44 +0800] "GET /api/chat/conversations/2/messages HTTP/1.1" 200 421 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:06:44,839] INFO in socketio_handler: 用户 admin 离开会话房间: conversation_2
equipment-management-system  | [2025-12-22 08:06:44,840] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_2
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:44 +0800] "GET /api/chat/conversations/2/messages HTTP/1.1" 200 421 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:06:48,444] INFO in socketio_handler: 用户 admin 离开会话房间: conversation_2
equipment-management-system  | [2025-12-22 08:06:48,446] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_3
